FONTE	CAMPO	PESQUISA	TÍTULO	NOTAS	URL
arxiv	abstract	deep learning, voice	Speech Emotion Recognition using Supervised Deep Recurrent System for Mental Health Monitoring	"refs; arquitetura;"	https://arxiv.org/abs/2208.12812
arxiv	abstract	deep learning, voice	Depression Recognition using Remote Photoplethysmography from Facial Videos	n/a	https://arxiv.org/abs/2206.04399
arxiv	abstract	deep learning, voice	Accurate Emotion Strength Assessment for Seen and Unseen Speech Based on Data-Driven Deep Learning	"refs; arquitetura;"	https://arxiv.org/abs/2206.07229
arxiv	abstract	deep learning, voice	Emotional Speaker Identification using a Novel Capsule Nets Model	"refs;"	https://arxiv.org/abs/2201.02994
n/a	n/a	n/a	mel spectrum	mel spectrum	https://medium.com/analytics-vidhya/understanding-the-mel-spectrogram-fca2afa2ce53
arxiv	abstract	depression, learning, voice	Automatic Detection of Depression from Stratified Samples of Audio Data	"refs; arquitetura; modelos; estudo comparativo; evidenciação"	https://arxiv.org/abs/2111.10783
arxiv	abstract	voice, clustering	Automated Sex Classification of Children's Voices and Changes in Differentiating Factors with Age	n/a	https://arxiv.org/abs/2209.13112
arxiv	abstract	emotion,  voice, unsupervised	Language Independent Emotion Quantification using Non linear Modelling of Speech	"refs; dataset; não linear;"	https://arxiv.org/abs/2102.06003
arxiv	abstract	??	Voice Conversion Based on Cross-Domain Features Using Variational Auto Encoders	refs	https://arxiv.org/abs/1808.09634
arxiv	abstract	voice, emotion classification	A Fine-tuned Wav2vec 2.0/HuBERT Benchmark For Speech Emotion Recognition, Speaker Verification and Spoken Language Understanding	???	https://arxiv.org/abs/2111.02735
arxiv	abstract	voice, emotion classification	Improving Automatic Emotion Recognition from speech using Rhythm and Temporal feature	???	https://arxiv.org/abs/1303.1761
unb	n/a	n/a	"DEEP: Uma arquitetura para reconhecer emoção
com base no espectro sonoro da voz de falantes da
língua portuguesa"	"refs; arquitetura; exemplo"	https://bdm.unb.br/bitstream/10483/27583/1/2020_GabrielCampos_LucasMoutinho_tcc.pdf
ieee	n/a	n/a	A Knowledge-Based Recommendation System That Includes Sentiment Analysis and Deep Learning	???	https://ieeexplore.ieee.org/document/8445585
semantic scholar	n/a	n/a	Emotion intensity detection for social media data	???	https://www.semanticscholar.org/paper/Emotion-intensity-detection-for-social-media-data-Mashal-Asnani/b28f0916e14c65af4d5f6ec0a3584251b78dc513
arxiv	n/a	n/a	Emotion Detection and Analysis on Social Media	???	https://arxiv.org/abs/1901.08458
nature	n/a	n/a	The paradoxical role of emotional intensity in the perception of vocal affect	"intensidade; dataset"	https://www.nature.com/articles/s41598-021-88431-0
mdpi	n/a	n/a	Human Emotion Recognition: Review of Sensors and Methods 	"""Video-based systems demonstrate great potential for implementation
due to widespread hardware availability as well as the performance of off-line analysis of existing
video material."""	https://www.mdpi.com/1424-8220/20/3/592
